location_id,device_id,lat,lng,recorded_at,ingested_at,accuracy_metres,source
LOC_00041,d-20a7,51.543135,-0.005596,2024-11-05 09:55:00,2024-11-05 09:56:00,44,SafeGraph
LOC_00042,d-14d5,51.522898,-0.07305,2024-11-05 07:49:00,2024-11-05 07:50:00,34,SafeGraph
LOC_00043,d-0e1f,51.504627,-0.086504,2024-11-05 09:14:00,2024-11-05 09:29:00,22,SafeGraph
LOC_00044,d-059a,51.515382,-0.140651,2024-11-05 06:13:00,2024-11-05 12:13:00,27,Location Sciences
LOC_00045,d-1582,51.51027,-0.13418,2024-11-05 06:05:00,2024-11-05 06:10:00,20,Internal GPS
LOC_00046,d-26cf,51.523069,-0.072821,2024-11-05 07:05:00,2024-11-05 07:10:00,15,Internal GPS
LOC_00047,d-26cf,51.503379,-0.113435,2024-11-05 06:06:00,2024-11-05 06:21:00,41,SafeGraph
LOC_00048,d-1ef4,51.504846,-0.020786,2024-11-05 08:40:00,2024-11-05 08:41:00,49,Internal GPS
LOC_00049,d-06af,51.515578,-0.14076,2024-11-05 06:10:00,2024-11-05 06:11:00,32,Location Sciences
LOC_00050,d-09d7,51.504508,-0.086448,2024-11-05 08:05:00,2024-11-05 08:06:00,28,SafeGraph
LOC_00051,d-1ee8,51.542806,-0.005787,2024-11-05 08:46:00,2024-11-05 08:47:00,39,SafeGraph
LOC_00052,d-15b0,51.522661,-0.072589,2024-11-05 09:32:00,2024-11-05 09:47:00,22,Location Sciences
LOC_00053,d-11af,51.522866,-0.072873,2024-11-05 06:07:00,2024-11-05 06:08:00,25,Location Sciences
LOC_00054,d-15b5,51.495104,-0.143672,2024-11-05 08:59:00,2024-11-05 09:14:00,40,Location Sciences
LOC_00055,d-0cd6,51.505232,-0.020907,2024-11-05 09:14:00,2024-11-05 09:15:00,35,SafeGraph
LOC_00056,d-0ddb,51.509756,-0.134167,2024-11-05 08:57:00,2024-11-05 08:58:00,47,SafeGraph
LOC_00057,d-1ae1,51.509806,-0.133902,2024-11-05 08:20:00,2024-11-05 08:21:00,49,SafeGraph
LOC_00058,d-059a,51.504872,-0.021084,2024-11-05 06:30:00,2024-11-05 06:35:00,49,Location Sciences
LOC_00059,d-1972,51.495335,-0.143614,2024-11-05 08:14:00,2024-11-05 08:15:00,11,SafeGraph
LOC_00060,d-12cb,51.504608,-0.086692,2024-11-05 08:16:00,2024-11-05 08:17:00,,Internal GPS
LOC_00061,d-26c8,51.503183,-0.113048,2024-11-05 06:26:00,2024-11-05 06:41:00,41,SafeGraph
LOC_00062,d-0ddb,51.504611,-0.086669,2024-11-05 10:00:00,2024-11-05 10:15:00,12,SafeGraph
LOC_00063,d-0a72,51.515446,-0.140688,2024-11-05 06:38:00,2024-11-05 06:39:00,,Location Sciences
LOC_00064,d-243f,51.515435,-0.14085,2024-11-05 08:32:00,2024-11-05 08:37:00,19,SafeGraph
LOC_00065,d-0ddb,51.531878,-0.123247,2024-11-05 07:49:00,2024-11-05 07:50:00,44,Internal GPS
LOC_00066,d-0a77,51.505175,-0.021041,2024-11-05 06:20:00,2024-11-05 06:21:00,16,Location Sciences
LOC_00067,d-0b08,51.54297,-0.005744,2024-11-05 07:14:00,2024-11-05 07:15:00,23,Internal GPS
LOC_00068,d-11af,51.515512,-0.140546,2024-11-05 09:21:00,2024-11-05 09:26:00,42,Location Sciences
LOC_00069,d-15b0,51.515427,-0.140711,2024-11-05 09:52:00,2024-11-05 09:53:00,14,Location Sciences
LOC_00070,d-1ec1,51.522949,-0.072758,2024-11-05 07:13:00,2024-11-05 07:14:00,34,Internal GPS
LOC_00071,d-1ef4,51.4952,-0.143904,2024-11-05 06:20:00,2024-11-05 06:21:00,32,Internal GPS
LOC_00072,d-059a,51.509755,-0.133723,2024-11-05 09:34:00,2024-11-05 09:49:00,,Internal GPS
LOC_00073,d-10a1,51.522524,-0.072646,2024-11-05 08:00:00,2024-11-05 08:01:00,33,Location Sciences
LOC_00074,d-14d5,51.543081,-0.005805,2024-11-05 06:23:00,2024-11-05 06:24:00,31,Internal GPS
LOC_00075,d-0a77,51.502998,-0.113084,2024-11-05 07:13:00,2024-11-05 07:18:00,30,Internal GPS
LOC_00076,d-1582,51.531753,-0.123449,2024-11-05 06:29:00,2024-11-05 12:29:00,30,Location Sciences
LOC_00077,d-0a18,51.531948,-0.123487,2024-11-05 07:32:00,2024-11-05 07:37:00,36,Location Sciences
LOC_00078,d-11e6,51.49523,-0.143643,2024-11-05 07:52:00,2024-11-05 08:07:00,36,Internal GPS
LOC_00079,d-06af,51.505226,-0.021014,2024-11-05 06:03:00,2024-11-05 06:04:00,10,Location Sciences
LOC_00080,d-11af,51.515489,-0.141008,2024-11-05 09:58:00,2024-11-05 10:03:00,37,SafeGraph
LOC_00081,d-1972,51.531846,-0.123269,2024-11-05 07:38:00,2024-11-05 07:39:00,43,Location Sciences
LOC_00082,d-1231,51.495364,-0.143687,2024-11-05 07:27:00,2024-11-05 07:42:00,37,Location Sciences
LOC_00083,d-26c8,51.495402,-0.143852,2024-11-05 08:48:00,2024-11-05 08:49:00,14,SafeGraph
LOC_00084,d-15b5,51.504831,-0.086374,2024-11-05 07:56:00,2024-11-05 08:11:00,,Location Sciences
LOC_00085,d-19eb,51.54284,-0.005635,2024-11-05 06:11:00,2024-11-05 06:12:00,35,SafeGraph
LOC_00086,d-0e1f,51.503097,-0.113478,2024-11-05 08:08:00,2024-11-05 14:08:00,26,SafeGraph
LOC_00087,d-0a77,51.510146,-0.134491,2024-11-05 06:36:00,2024-11-05 06:37:00,,Location Sciences
LOC_00088,d-1972,51.495103,-0.143784,2024-11-05 08:46:00,2024-11-05 08:47:00,26,Internal GPS
LOC_00089,d-0e1f,51.504876,-0.086168,2024-11-05 08:04:00,2024-11-05 08:19:00,7,Location Sciences
LOC_00090,d-26c8,51.505248,-0.02094,2024-11-05 06:25:00,2024-11-05 06:30:00,50,SafeGraph
LOC_00091,d-05f0,51.495442,-0.144172,2024-11-05 09:23:00,2024-11-05 09:24:00,27,Location Sciences
LOC_00092,d-243f,51.509847,-0.134091,2024-11-05 06:46:00,2024-11-05 06:47:00,10,SafeGraph
LOC_00093,d-214f,51.505099,-0.02085,2024-11-05 06:59:00,2024-11-05 07:00:00,21,Internal GPS
LOC_00094,d-0b08,51.532241,-0.123193,2024-11-05 06:40:00,2024-11-05 06:41:00,,SafeGraph
LOC_00095,d-15b0,51.495174,-0.144019,2024-11-05 07:38:00,2024-11-05 07:53:00,11,Internal GPS
LOC_00096,d-15b5,51.522678,-0.07268,2024-11-05 06:05:00,2024-11-05 12:05:00,47,Location Sciences
LOC_00097,d-19eb,51.510246,-0.133853,2024-11-05 09:33:00,2024-11-05 09:48:00,23,Location Sciences
LOC_00098,d-06af,51.504631,-0.086586,2024-11-05 07:04:00,2024-11-05 07:09:00,47,Location Sciences
LOC_00099,d-0a77,51.509885,-0.134036,2024-11-05 08:28:00,2024-11-05 08:29:00,13,SafeGraph
LOC_00100,d-1203,51.542805,-0.006021,2024-11-05 08:18:00,2024-11-05 08:33:00,28,SafeGraph
LOC_00101,d-05f0,51.495448,-0.143633,2024-11-05 09:26:00,2024-11-05 09:27:00,26,SafeGraph
LOC_00102,d-1231,51.503252,-0.113365,2024-11-05 08:53:00,2024-11-05 08:58:00,,Internal GPS
LOC_00103,d-0452,51.515574,-0.141092,2024-11-05 08:17:00,2024-11-05 08:18:00,28,Internal GPS
LOC_00104,d-059a,51.522729,-0.072717,2024-11-05 07:35:00,2024-11-05 07:36:00,19,Internal GPS
LOC_00105,d-1ae1,51.505049,-0.086567,2024-11-05 06:16:00,2024-11-05 06:21:00,34,SafeGraph
LOC_00106,d-19ae,51.515184,-0.140532,2024-11-05 07:17:00,2024-11-05 13:17:00,12,Internal GPS
LOC_00107,d-0978,51.542972,-0.005698,2024-11-05 09:10:00,2024-11-05 09:15:00,39,Internal GPS
LOC_00108,d-1ee8,51.543093,-0.0056,2024-11-05 08:37:00,2024-11-05 08:38:00,22,SafeGraph
LOC_00109,d-11e6,51.531967,-0.123458,2024-11-05 07:32:00,2024-11-05 07:33:00,48,Internal GPS
LOC_00110,d-15b5,51.509939,-0.134186,2024-11-05 06:31:00,2024-11-05 06:46:00,34,Location Sciences
LOC_00111,d-06af,51.50973,-0.1341,2024-11-05 06:32:00,2024-11-05 06:37:00,18,Internal GPS
LOC_00112,d-11e6,51.52263,-0.072578,2024-11-05 07:24:00,2024-11-05 07:29:00,43,Location Sciences
LOC_00113,d-0978,51.50975,-0.134395,2024-11-05 08:49:00,2024-11-05 09:04:00,13,Location Sciences
LOC_00114,d-14d5,51.504509,-0.086541,2024-11-05 06:32:00,2024-11-05 06:37:00,38,Location Sciences
LOC_00115,d-1972,51.532167,-0.123292,2024-11-05 06:27:00,2024-11-05 06:28:00,,Location Sciences
LOC_00116,d-1c38,51.495175,-0.143622,2024-11-05 06:15:00,2024-11-05 12:15:00,30,Location Sciences
LOC_00117,d-0a72,51.531744,-0.123552,2024-11-05 08:35:00,2024-11-05 08:36:00,13,Internal GPS
LOC_00118,d-14d5,51.510027,-0.134271,2024-11-05 08:32:00,2024-11-05 08:33:00,34,SafeGraph
LOC_00119,d-0a77,51.515612,-0.140709,2024-11-05 09:16:00,2024-11-05 09:17:00,18,Location Sciences
LOC_00120,d-19ae,51.504996,-0.086461,2024-11-05 09:06:00,2024-11-05 09:07:00,32,SafeGraph
LOC_00121,d-0452,51.503212,-0.113215,2024-11-05 06:23:00,2024-11-05 06:38:00,10,Internal GPS
LOC_00122,d-0452,51.503134,-0.113148,2024-11-05 08:23:00,2024-11-05 08:24:00,47,SafeGraph
LOC_00123,d-15b0,51.510281,-0.13394,2024-11-05 07:30:00,2024-11-05 07:31:00,37,Internal GPS
LOC_00124,d-1972,51.505308,-0.02099,2024-11-05 08:22:00,2024-11-05 08:23:00,22,SafeGraph
LOC_00125,d-1ae1,51.522868,-0.072714,2024-11-05 06:06:00,2024-11-05 06:11:00,47,SafeGraph
LOC_00126,d-0581,51.502964,-0.113043,2024-11-05 09:55:00,2024-11-05 09:56:00,5,Location Sciences
LOC_00127,d-19eb,51.542742,-0.005655,2024-11-05 06:07:00,2024-11-05 06:08:00,38,SafeGraph
LOC_00128,d-11af,51.504594,-0.086513,2024-11-05 07:23:00,2024-11-05 07:28:00,41,Location Sciences
LOC_00129,d-1ee8,51.503253,-0.11347,2024-11-05 06:20:00,2024-11-05 06:21:00,47,Internal GPS
LOC_00130,d-0ddb,51.542864,-0.005647,2024-11-05 06:29:00,2024-11-05 06:30:00,12,Internal GPS
LOC_00131,d-14d5,51.532016,-0.123415,2024-11-05 06:56:00,2024-11-05 06:57:00,43,Location Sciences
LOC_00132,d-1ec1,51.50526,-0.020742,2024-11-05 07:14:00,2024-11-05 07:15:00,5,SafeGraph
LOC_00133,d-05d0,51.503028,-0.113078,2024-11-05 08:08:00,2024-11-05 08:09:00,47,Location Sciences
LOC_00134,d-1ef4,51.509962,-0.134024,2024-11-05 06:19:00,2024-11-05 06:34:00,41,SafeGraph
LOC_00135,d-19ae,51.494969,-0.144187,2024-11-05 07:23:00,2024-11-05 07:24:00,44,Internal GPS
LOC_00136,d-0452,51.515362,-0.141036,2024-11-05 07:51:00,2024-11-05 07:52:00,38,SafeGraph
LOC_00137,d-20a7,51.505,-0.021099,2024-11-05 08:10:00,2024-11-05 08:15:00,38,SafeGraph
LOC_00138,d-15b5,51.502942,-0.113412,2024-11-05 06:50:00,2024-11-05 06:51:00,14,Internal GPS
LOC_00139,d-1231,51.503371,-0.113123,2024-11-05 07:58:00,2024-11-05 08:03:00,42,Internal GPS
LOC_00140,d-214f,51.505019,-0.086324,2024-11-05 06:38:00,2024-11-05 06:39:00,35,SafeGraph
LOC_00141,d-10a1,51.522534,-0.072796,2024-11-05 07:19:00,2024-11-05 07:20:00,7,SafeGraph
LOC_00142,d-1231,51.515469,-0.140796,2024-11-05 07:58:00,2024-11-05 07:59:00,7,Internal GPS
LOC_00143,d-09e7,51.504863,-0.086399,2024-11-05 06:15:00,2024-11-05 06:16:00,,Location Sciences
LOC_00144,d-09d7,51.502823,-0.113075,2024-11-05 07:52:00,2024-11-05 07:53:00,44,SafeGraph
LOC_00145,d-26c8,51.542945,-0.005897,2024-11-05 08:33:00,2024-11-05 08:34:00,45,Location Sciences
LOC_00146,d-20a7,51.515435,-0.140868,2024-11-05 07:04:00,2024-11-05 07:09:00,,Internal GPS
LOC_00147,d-1ee8,51.504549,-0.086302,2024-11-05 09:54:00,2024-11-05 09:55:00,46,SafeGraph
LOC_00148,d-0978,51.522925,-0.073049,2024-11-05 08:23:00,2024-11-05 08:24:00,26,Internal GPS
LOC_00149,d-1c38,51.515488,-0.140846,2024-11-05 07:32:00,2024-11-05 07:33:00,24,Location Sciences
LOC_00150,d-20a7,51.531815,-0.123,2024-11-05 06:39:00,2024-11-05 06:40:00,11,Internal GPS
LOC_00151,d-1c38,51.510097,-0.133774,2024-11-05 08:38:00,2024-11-05 08:39:00,29,Location Sciences
LOC_00152,d-214f,51.503233,-0.113474,2024-11-05 07:33:00,2024-11-05 07:38:00,,Internal GPS
LOC_00153,d-26c8,51.53184,-0.123456,2024-11-05 09:27:00,2024-11-05 09:32:00,17,Internal GPS
LOC_00154,d-0ddb,51.532162,-0.123133,2024-11-05 08:08:00,2024-11-05 08:09:00,15,Internal GPS
LOC_00155,d-0978,51.494931,-0.143912,2024-11-05 07:35:00,2024-11-05 07:36:00,11,Internal GPS
LOC_00156,d-26cf,51.49495,-0.144104,2024-11-05 07:55:00,2024-11-05 08:10:00,14,Location Sciences
LOC_00157,d-12cb,51.532231,-0.123042,2024-11-05 07:46:00,2024-11-05 07:47:00,37,SafeGraph
LOC_00158,d-0cd6,51.504635,-0.086509,2024-11-05 06:25:00,2024-11-05 06:40:00,46,Location Sciences
LOC_00159,d-0978,51.509872,-0.133802,2024-11-05 08:58:00,2024-11-05 09:13:00,50,Internal GPS
LOC_00160,d-0b08,51.515111,-0.140971,2024-11-05 06:38:00,2024-11-05 06:39:00,43,Location Sciences
LOC_00161,d-26c8,51.504981,-0.021171,2024-11-05 07:47:00,2024-11-05 07:52:00,44,Location Sciences
LOC_00162,d-0a72,51.522822,-0.072721,2024-11-05 08:27:00,2024-11-05 08:28:00,14,Location Sciences
LOC_00163,d-214f,51.504644,-0.08645,2024-11-05 08:50:00,2024-11-05 08:55:00,,Location Sciences
LOC_00164,d-1c38,51.509904,-0.133907,2024-11-05 08:21:00,2024-11-05 08:22:00,35,SafeGraph
LOC_00165,d-0452,51.495348,-0.143986,2024-11-05 06:17:00,2024-11-05 06:18:00,47,Internal GPS
LOC_00166,d-20a7,51.502827,-0.113172,2024-11-05 09:28:00,2024-11-05 09:33:00,48,Internal GPS
LOC_00167,d-1972,51.503287,-0.113462,2024-11-05 09:18:00,2024-11-05 09:33:00,7,Location Sciences
LOC_00168,d-09e7,51.509889,-0.134114,2024-11-05 07:41:00,2024-11-05 13:41:00,39,Location Sciences
LOC_00169,d-09e7,51.495114,-0.143731,2024-11-05 09:41:00,2024-11-05 09:46:00,22,SafeGraph
LOC_00170,d-15b0,51.543146,-0.005563,2024-11-05 07:38:00,2024-11-05 07:39:00,16,SafeGraph
LOC_00171,d-0452,51.50976,-0.13445,2024-11-05 07:48:00,2024-11-05 07:49:00,,Location Sciences
LOC_00172,d-0a18,51.495093,-0.144152,2024-11-05 08:49:00,2024-11-05 08:50:00,33,SafeGraph
LOC_00173,d-05f0,51.531911,-0.123575,2024-11-05 09:42:00,2024-11-05 09:57:00,,SafeGraph
LOC_00174,d-1394,51.515503,-0.140856,2024-11-05 08:11:00,2024-11-05 08:26:00,48,Location Sciences
LOC_00175,d-1ee8,51.522907,-0.072837,2024-11-05 06:32:00,2024-11-05 06:33:00,46,SafeGraph
LOC_00176,d-19eb,51.510063,-0.133893,2024-11-05 07:34:00,2024-11-05 07:35:00,9,Internal GPS
LOC_00177,d-0452,51.542889,-0.005933,2024-11-05 06:29:00,2024-11-05 06:30:00,16,SafeGraph
LOC_00178,d-1ae1,51.515257,-0.140944,2024-11-05 07:54:00,2024-11-05 07:55:00,44,SafeGraph
LOC_00179,d-09e7,51.515181,-0.141056,2024-11-05 06:44:00,2024-11-05 06:59:00,,Internal GPS
LOC_00180,d-1203,51.504926,-0.08637,2024-11-05 07:14:00,2024-11-05 07:29:00,15,Internal GPS
LOC_00181,d-4f9a,51.51,-0.134,2024-11-05 08:04:00,2024-11-05 08:04:45,12,Location Sciences
LOC_00182,d-4f9a,51.5154,-0.1408,2024-11-05 08:04:00,2024-11-05 08:05:10,18,SafeGraph
LOC_00183,d-0000,51.5031,-0.1132,2024-11-05 08:22:00,2024-11-05 08:22:30,8,Location Sciences
LOC_00184,d-4f9b,51.51,-0.1342,2024-11-06 08:06:00,2024-11-06 08:06:40,10,Location Sciences
LOC_00185,d-4f9b,51.5031,-0.113,2024-11-06 08:31:00,2024-11-06 08:31:55,15,SafeGraph
